0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:08 +0900] "GET /member/login HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:12 +0900] "POST /member/login HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:12 +0900] "GET /resources/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:13 +0900] "GET /book/list HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:13 +0900] "GET /resources/Booklist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:55 +0900] "GET /book/register HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:55 +0900] "GET /resources/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:55 +0900] "GET /resources/Bookregister.css HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:56 +0900] "GET /book/list HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:56 +0900] "GET /resources/Booklist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:57 +0900] "GET /book/register HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:57 +0900] "GET /resources/Bookregister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:58 +0900] "GET /book/list HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:59 +0900] "GET /book/detail?bno=22 HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:01:59 +0900] "GET /upload/2023/07/12/f0965168-33b4-404d-80dc-76e7d01d4675_th_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:02:59 +0900] "GET /book/detail?bno=22 HTTP/1.1" 200 4725
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:02:59 +0900] "GET /resources/Bookdetail.css HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:02:59 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:02:59 +0900] "GET /upload/2023/07/12/f0965168-33b4-404d-80dc-76e7d01d4675_th_2.jpg HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:02:59 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:22 +0900] "GET /book/detail?bno=22 HTTP/1.1" 200 4725
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:22 +0900] "GET /resources/Bookdetail.css HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:22 +0900] "GET /resources/layout.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:22 +0900] "GET /upload/2023/07/12/f0965168-33b4-404d-80dc-76e7d01d4675_th_2.jpg HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:22 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:38 +0900] "GET /book/detail?bno=22 HTTP/1.1" 200 4725
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:38 +0900] "GET /upload/2023/07/12/f0965168-33b4-404d-80dc-76e7d01d4675_th_2.jpg HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [13/Jul/2023:00:03:38 +0900] "GET /resources/Bookdetail.css HTTP/1.1" 200 429
