127.0.0.1 - - [23/Jul/2023:17:58:14 +0900] "GET / HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:16 +0900] "GET / HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:16 +0900] "GET /resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:16 +0900] "GET /resources/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:16 +0900] "GET /resources/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:16 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:19 +0900] "GET /member/login HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:22 +0900] "POST /member/login HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:24 +0900] "GET /book/list HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:24 +0900] "GET /resources/Booklist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:25 +0900] "GET / HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:26 +0900] "GET /book/list HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:28 +0900] "GET / HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:29 +0900] "GET /book/ProdcutDetail?bno=21 HTTP/1.1" 500 3880
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET / HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET /resources/style.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET /resources/img/1.jpg HTTP/1.1" 200 336791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:49 +0900] "GET /book/ProdcutDetail?bno=31 HTTP/1.1" 500 3880
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:58:53 +0900] "GET /book/list HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:06 +0900] "GET / HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:07 +0900] "GET / HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:07 +0900] "GET /resources/style.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:07 +0900] "GET /resources/layout.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:07 +0900] "GET /resources/img/1.jpg HTTP/1.1" 200 336791
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:08 +0900] "GET /book/ProdcutDetail?bno=26 HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:08 +0900] "GET /resources/prodcutdetail.css HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [23/Jul/2023:17:59:08 +0900] "GET /upload/2023/07/18/0de2d429-0bc4-4cb4-855a-2a5ab40a23fd_th_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%201.jpg HTTP/1.1" 304 -
